id,title,author_byline,publisher,canonical_https_url,original_publication_date,modified_date,retrieved_date,date_evidence_location,language,topic,source_class,access_licensing_robots_paywall_note,permitted_ingestion_mode,why_it_matters
CR-013,"To Hell With Corporate Hierarchy Titles","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/corporate-hierarchy-titles","2022-11-30","","2026-08-13","Article header states Written by Joost Minnaar November 30, 2022","en","hierarchy; roles; titles","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","It contrasts fixed status labels with role-based contribution, a recurring theme in progressive structures."
CR-014,"The Corporate Rebels Handbook - How We Handle Fuck-Ups, Meetings, and Compensation","Pim de Morree","Corporate Rebels","https://www.corporate-rebels.com/blog/way-of-working-handbook","2023-01-11","","2026-08-13","Article header states Written by Pim de Morree January 11, 2023","en","company handbook; transparency; internal practices","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","This first-party handbook overview is the strongest compact map of Corporate Rebels' own operating practices."
CR-016,"What Happens When You A/B Test Hybrid Work? The Results Are Fascinating","Pim de Morree","Corporate Rebels","https://www.corporate-rebels.com/blog/what-happens-when-you-a-b-test-hybrid-work-the-results-are-fascinating","2024-12-15","","2026-08-13","Article header states Written by Pim de Morree December 15, 2024","en","hybrid work; experiment; retention","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A recent evidence-focused piece grounds workplace flexibility in a real randomized field experiment."
CR-017,"Decentralization At Scale: Why The Strongest Organizations Look Like Bazaars","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/decentralisation-at-scale-why-the-strongest-organizations-look-like-bazaars","2025-08-28","","2026-08-13","Article header states Written by Joost Minnaar August 28, 2025","en","decentralization; networks; resilience","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","The cathedral-versus-bazaar framing unifies several large-scale decentralized operating examples."
CR-018,"Revolutions Don't Start in Boardrooms. They Start With Beer","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/revolutions-dont-start-in-boardrooms-they-start-with-beer","2025-12-04","","2026-08-13","Article header states Written by Joost Minnaar December 04, 2025","en","change networks; community; informal spaces","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","It captures the social infrastructure of change: small trusted groups and informal networks rather than top-down programs."
CR-019,"Why 2026 Might Be a Turning Point For Radically Decentralized Organizations","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/why-2026-might-be-a-turning-point-for-radically-decentralized-organizations","2026-01-01","","2026-08-13","Article header states Written by Joost Minnaar January 01, 2026","en","decentralization; adoption; diffusion","official","Public article; no paywall observed; some outbound evidence links use newsletter previews and remain out of scope; standard copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A current strategic thesis asks whether decentralized models are crossing from pioneering cases into mainstream adoption."
CR-020,"Learned Helplessness at Work: Why Removing Hierarchy Isn't Enough","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/learned-helplessness-at-work","2026-03-09","","2026-08-13","Article header states Written by Joost Minnaar March 09, 2026","en","self-management; learned helplessness; transformation","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","It adds a vital human-development caveat: structural freedom does not instantly produce confident agency."
CR-021,"AI and the Future of Work: Liberation vs. Control","Pim de Morree","Corporate Rebels","https://www.corporate-rebels.com/blog/ai-and-the-future-of-work","2026-03-23","","2026-08-13","Article header states Written by Pim de Morree March 23, 2026","en","AI; autonomy; surveillance; future of work","official","Public article; no paywall observed; linked research is out of scope; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","The piece frames AI deployment as an organizational-design choice between amplifying control and amplifying autonomy."
CR-022,"Organizational silos: what the Titanic teaches us about information that never arrives","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/organizational-silos","2026-04-27","","2026-08-13","Article header states Written by Joost Minnaar April 27, 2026","en","silos; information flow; incentives","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A vivid case makes information-flow failure legible as a structural and incentive problem rather than a people problem."
CR-023,"Positional leadership: the emperor's new clothes of management","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/positional-leadership","2026-05-04","","2026-08-13","Article header states Written by Joost Minnaar May 04, 2026","en","leadership; authority; competence","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","It distinguishes authority earned through competence from power inherited through position."
CR-024,"Sociocracy 3.0 examples: what a prison, a bank, and an outdoor retailer taught us","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/sociocracy-3","2026-05-18","","2026-08-13","Article header states Written by Joost Minnaar May 18, 2026","en","sociocracy; field research; modular governance","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","Recent field observations show how modular sociocratic practices appear across contrasting organizations."
CR-025,"Holacracy disadvantages: honest criticism and challenges of an innocent framework","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/holacracy-disadvantages-criticism-challenges","2026-06-29","","2026-08-13","Article header states Written by Joost Minnaar June 29, 2026","en","Holacracy; self-management; implementation risks","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A candid critique counterbalances advocacy by documenting how formal self-management can reproduce hidden hierarchy."
CR-026,"Team cohesion: what anthropology teaches us about holding organizations together","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/team-cohesion","2026-07-27","","2026-08-13","Article header states Written by Joost Minnaar July 27, 2026","en","team cohesion; relational design; decentralized organizations","official","Public article; no paywall observed; standard site copyright; robots permits this article path as of retrieval but must be rechecked before ingestion","Metadata + canonical link + original concise synopsis only; no page-body copy","This newest field-informed essay adds the relational mechanisms that keep autonomous units aligned after hierarchy is removed."
CR-027,"The decentralized organization: lessons from 3 German pioneers","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/decentralized-organization","2026-07-27","","2026-08-13","Article header states Written by Joost Minnaar July 27, 2026","en","decentralization; field research; structure and accountability","official","Public article; no paywall observed; standard site copyright; robots permits this article path as of retrieval but must be rechecked before ingestion","Metadata + canonical link + original concise synopsis only; no page-body copy","Three fresh German cases show that decentralization requires a coherent framework, visible decisions, conflict capacity, and individual accountability."
CR-028,"Reclaiming purpose and aliveness (by Frederic Laloux)","Frederic Laloux","Corporate Rebels","https://www.corporate-rebels.com/blog/reclaiming-purpose-and-aliveness-by-frederic-laloux","2026-07-27","","2026-08-13","Article header states Written by Frederic Laloux July 27, 2026","en","purpose; integrity; leadership; meaningful work","official","Public guest essay; no paywall observed; standard site copyright; robots permits this article path as of retrieval but must be rechecked before ingestion","Metadata + canonical link + original concise synopsis only; no page-body copy","The newest guest essay broadens the corpus from structural design to leadership integrity, meaningful purpose, and organizational license to operate."
